Zinc_conc	ZN	ZD
1	0.964040904	0.011862949
8	1.085758562	0.086897283
40	1.000334983	0.345194706
200	1.067768288	0.584464432
1000	1.06356788	0.775488382
5000	1.281228134	1.015963443
20000	1.395995281	1.114595563
1	1.010908234	0.137520462
8	0.968238057	0.213763799
40	1.11747814	0.300286583
200	1.212351017	0.568888231
1000	1.059280616	0.734811883
5000	1.118293016	1.297986946
20000	1.162910531	1.204143867
1	1.087114224	0.137001966
8	0.986709176	0.150390871
40	1.117233021	0.240487672
200	1.092610997	0.421090627
1000	1.235912491	0.663611376
5000	1.118155831	1.007444514
20000	1.03648741	1.08483537
