	DMSO_0.5	DMSO_1	DMSO_2	DMSO_2_TSA	nolysate	TPEN_1_0.5	TPEN_1_1	TPEN_1_2	TPEN_1_2_TSA	TPEN_2_0.5	TPEN_2_1	TPEN_2_2
DMSO_1	0.62267	-	-	-	-	-	-	-	-	-	-	-
DMSO_2	0.00011	0.19416	-	-	-	-	-	-	-	-	-	-
DMSO_2_TSA	0.47153	0.00027	8.90E-08	-	-	-	-	-	-	-	-	-
nolysate	0.53141	0.00031	9.90E-08	1	-	-	-	-	-	-	-	-
TPEN_1_0.5	1	0.38944	6.60E-05	0.75061	0.84347	-	-	-	-	-	-	-
TPEN_1_1	0.37779	1	0.32452	0.00016	0.00018	0.23383	-	-	-	-	-	-
TPEN_1_2	9.80E-05	0.17467	1	8.10E-08	9.00E-08	6.00E-05	0.29251	-	-	-	-	-
TPEN_1_2_TSA	1	0.0009	2.40E-07	1	1	1	0.00052	2.20E-07	-	-	-	-
TPEN_2_0.5	1	0.30429	5.10E-05	0.95026	1	1	0.18184	4.60E-05	1	-	-	-
TPEN_2_1	1	1	0.09756	0.00055	0.00063	0.74836	1	0.08759	0.00183	0.5892	-	-
TPEN_2_2	0.00016	0.28242	1	1.20E-07	1.40E-07	9.70E-05	0.46854	1	3.40E-07	7.50E-05	0.14304	-
TPEN_2_2_TSA	1	0.00141	3.60E-07	1	1	1	0.00082	3.30E-07	1	1	0.00287	5.00E-07
