group	exp1	exp2	exp3
nolysate	0.993024307	1.039284221	0.989230491
DMSO_0.5h	0.77639289	0.574152184	0.841476304
DMSO_1h	0.53386504	0.333812559	0.513451008
DMSO_2h	0.124584192	0.069996281	0.241708487
DMSO_2h_TSA	0.875138983	0.89870865	1.261645275
TPEN_1h0.5h	0.715828881	0.727045067	0.803891577
TPEN_1h1h	0.299970776	0.417155562	0.605757206
TPEN_1h2h	0.091458206	0.102072657	0.230891791
TPEN_1h2h_TSA	0.847025532	1.060788652	0.999120883
TPEN_2h0.5h	0.631213119	0.820901032	0.822968182
TPEN_2h1h	0.36561953	0.525881441	0.566179194
TPEN_2h2h	0.11648843	0.129296645	0.232885417
TPEN_2h2h_TSA	0.848736423	1.08083932	0.929272042
