HDAC1

	nolysate	tpen0_00min	tpen0_05min	tpen0_10min	tpen0_15min	tpen0_15min_tsa	tpen1_00min	tpen1_05min	tpen1_10min	tpen1_15min	tpen1_15min_tsa	tpen2_00min	tpen2_05min	tpen2_10min	tpen2_15min
tpen0_00min	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tpen0_05min	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tpen0_10min	0.241317258	0.398646389	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tpen0_15min	0.004440799	0.007693622	0.401245182	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tpen0_15min_tsa	1	1	1	0.101238912	0.00175057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tpen1_00min	1	1	1	0.466496196	0.009156451	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
tpen1_05min	1	1	1	1	0.928218753	1	1	NA	NA	NA	NA	NA	NA	NA	NA
tpen1_10min	0.116579316	0.195300104	1	1	1	0.047960842	0.22964936	1	NA	NA	NA	NA	NA	NA	NA
tpen1_15min	0.002485341	0.00431528	0.236592625	1	1	0.000977891	0.005140296	0.559371323	1	NA	NA	NA	NA	NA	NA
tpen1_15min_tsa	1	1	1	0.764074121	0.015922605	1	1	1	0.382495845	0.008969562	NA	NA	NA	NA	NA
tpen2_00min	1	1	1	0.240983272	0.004434126	1	1	1	0.11641381	0.002481595	1	NA	NA	NA	NA
tpen2_05min	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA
tpen2_10min	0.049616739	0.084203416	1	1	1	0.020057743	0.099462783	1	1	1	0.168311354	0.049544681	1	NA	NA
tpen2_15min	0.003235455	0.00561273	0.301163595	1	1	0.001273903	0.006683374	0.705258711	1	1	0.011645399	0.003230584	1	1	NA
tpen2_15min_tsa	1	1	1	0.239893187	0.004412356	1	1	1	0.115873676	0.002469372	1	1	1	0.049309539	0.003214692


HDAC6

	nolysate	tpen0_00min	tpen0_05min	tpen0_10min	tpen0_15min	tpen0_15min_tsa	tpen1_00min	tpen1_05min	tpen1_10min	tpen1_15min	tpen1_15min_tsa	tpen2_00min	tpen2_05min	tpen2_10min	tpen2_15min
tpen0_00min	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tpen0_05min	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tpen0_10min	0.01126241	0.157363778	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tpen0_15min	0.000540014	0.008298156	0.74859029	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tpen0_15min_tsa	1	1	1	0.232929255	0.012615316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tpen1_00min	1	1	1	0.319431899	0.017729862	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
tpen1_05min	1	1	1	1	0.789484739	1	1	NA	NA	NA	NA	NA	NA	NA	NA
tpen1_10min	0.021897267	0.293463566	1	1	1	0.430179355	0.584851076	1	NA	NA	NA	NA	NA	NA	NA
tpen1_15min	0.000818051	0.012504687	1	1	1	0.01896904	0.026603794	1	1	NA	NA	NA	NA	NA	NA
tpen1_15min_tsa	1	1	1	1	0.062575763	1	1	1	1	0.09290051	NA	NA	NA	NA	NA
tpen2_00min	1	1	1	0.25164706	0.013707577	1	1	1	0.463796995	0.02060147	1	NA	NA	NA	NA
tpen2_05min	1	1	1	1	0.921771165	1	1	1	1	1	1	1	NA	NA	NA
tpen2_10min	0.030339398	0.397030864	1	1	1	0.578875088	0.783279648	1	1	1	1	0.62340997	1	NA	NA
tpen2_15min	0.000571251	0.00877298	0.785986338	1	1	0.013333564	0.018734377	0.828798207	1	1	0.066031397	0.014487136	0.967232997	1	NA
tpen2_15min_tsa	1	1	1	0.058785161	0.002945804	1	1	1	0.111838411	0.004455383	1	1	1	0.153011385	0.003115744
