HDAC1

group	exp1	exp2	exp3
nolysate	0.941717317	0.920382049	1.137900634
tpen0_00min	0.96650621	0.828073438	1.119585895
tpen0_05min	0.917179425	0.64760689	0.706104974
tpen0_10min	0.689275629	0.397900242	0.394540652
tpen0_15min	0.416720696	0.241355659	0.181489575
tpen0_15min_tsa	1.01456849	0.709450221	1.420694478
tpen1_00min	0.962112208	0.678910171	1.245865781
tpen1_05min	0.849415871	0.456999829	0.816245017
tpen1_10min	0.624969869	0.27336883	0.461888244
tpen1_15min	0.350965024	0.203090867	0.195207468
tpen1_15min_tsa	0.936269663	0.738024102	1.125525993
tpen2_00min	1.037201467	0.75589117	1.207141709
tpen2_05min	0.616458685	0.693964519	0.60814111
tpen2_10min	0.427599647	0.446208143	0.347177173
tpen2_15min	0.230117057	0.286267477	0.273878996
tpen2_15min_tsa	0.833536416	0.898809042	1.268655937


HDAC6

group	exp1	exp2	exp3
nolysate	1.382572274	0.706589765	1.165112
tpen0_00min	1.130068865	0.676702361	1.027940569
tpen0_05min	0.869834397	0.563481887	0.669481062
tpen0_10min	0.508198521	0.35709447	0.398841289
tpen0_15min	0.38728761	0.202731267	0.207202952
tpen0_15min_tsa	1.025565337	0.801614117	0.942553028
tpen1_00min	1.111941388	0.775366115	0.829376402
tpen1_05min	0.910400885	0.66087024	0.522125933
tpen1_10min	0.552798292	0.49361581	0.321436922
tpen1_15min	0.409784727	0.269164793	0.181881922
tpen1_15min_tsa	0.840261974	0.755439167	0.921688755
tpen2_00min	0.756054678	0.862756043	1.13800145
tpen2_05min	0.489441298	0.775066109	0.801341029
tpen2_10min	0.291235531	0.621378766	0.506497975
tpen2_15min	0.176093056	0.342060486	0.287682565
tpen2_15min_tsa	0.781544191	0.871364339	1.341393794
