	C371A_Zn0	C371A_Zn0.01	C371A_Zn0.1	C371A_Zn1	C371A_Zn10	DMSO_Zn0	DMSO_Zn0.01	DMSO_Zn0.1	DMSO_Zn1	DMSO_Zn10	WT_Zn0	WT_Zn0.01	WT_Zn0.1	WT_Zn1
C371A_Zn0.01	1	-	-	-	-	-	-	-	-	-	-	-	-	-
C371A_Zn0.1	1	1	-	-	-	-	-	-	-	-	-	-	-	-
C371A_Zn1	1	1	1	-	-	-	-	-	-	-	-	-	-	-
C371A_Zn10	1	1	1	1	-	-	-	-	-	-	-	-	-	-
DMSO_Zn0	2.90E-13	2.70E-13	4.60E-13	3.00E-13	6.10E-14	-	-	-	-	-	-	-	-	-
DMSO_Zn0.01	1.40E-13	1.30E-13	2.20E-13	1.40E-13	3.00E-14	1	-	-	-	-	-	-	-	-
DMSO_Zn0.1	3.90E-14	3.50E-14	5.90E-14	4.00E-14	8.70E-15	1	1	-	-	-	-	-	-	-
DMSO_Zn1	2.60E-14	2.30E-14	3.90E-14	2.60E-14	5.90E-15	1	1	1	-	-	-	-	-	-
DMSO_Zn10	2.90E-13	2.60E-13	4.50E-13	2.90E-13	5.90E-14	1	1	1	1	-	-	-	-	-
WT_Zn0	1	1	1	1	1	2.90E-12	1.30E-12	3.30E-13	2.10E-13	2.80E-12	-	-	-	-
WT_Zn0.01	1	1	1	1	1	1.70E-12	7.70E-13	2.00E-13	1.30E-13	1.60E-12	1	-	-	-
WT_Zn0.1	1	1	1	1	1	4.90E-12	2.20E-12	5.40E-13	3.50E-13	4.80E-12	1	1	-	-
WT_Zn1	0.00157	0.00135	0.00318	0.00164	0.00013	1.30E-08	4.80E-09	8.80E-10	5.10E-10	1.30E-08	0.04834	0.02216	0.10292	-
WT_Zn10	0.00119	0.00102	0.0024	0.00123	9.50E-05	1.60E-08	6.10E-09	1.10E-09	6.40E-10	1.60E-08	0.03672	0.01678	0.07856	1
