group	exp1	exp2	exp3
DMSO_Zn0	1.07163685	0.930737383	0.997625766
DMSO_Zn0.01	1.103996746	0.939707621	1.032386348
DMSO_Zn0.1	1.145017562	0.989503012	1.078999177
DMSO_Zn1	1.063184577	1.090862325	1.103781855
DMSO_Zn10	1.061174624	0.850262531	1.090884042
WT_Zn0	0.132747518	0.260792064	0.128918789
WT_Zn0.01	0.140472043	0.212100671	0.118051407
WT_Zn0.1	0.219636096	0.22761202	0.1262637
WT_Zn1	0.539659803	0.400762102	0.302922728
WT_Zn10	0.495812945	0.495371706	0.270514259
C371A_Zn0	0.086901033	0.140941182	0.070112594
C371A_Zn0.01	0.085005063	0.125694248	0.077373213
C371A_Zn0.1	0.094596265	0.15940537	0.08971264
C371A_Zn1	0.079284717	0.150284703	0.070973821
C371A_Zn10	0.040751363	0.074848839	0.017390154
