gene	tp	fbs
MT3	-0.386433098	0.246051093
SLC1A1	-1.079265463	-0.681549979
SLC30A1	-1.295045656	-1.233800647
SLC30A2	0.309479401	-1.503280193
SLC30A3	-1.27732497	-1.004747794
SLC30A4	-0.188736925	0.035764093
SLC30A5	0.631065025	0.424744156
SLC30A6	0.32794472	0.616551953
SLC30A7	0.952127957	1.921012235
SLC30A8	-0.0786335	-0.046333839
SLC30A9	0.548345948	-0.146239003
SLC30A10	-1.640914479	0.229206782
SLC39A1	0.588939034	1.006868114
SLC39A2	0.255016817	0.267954246
SLC39A3	-0.635571258	-0.340405443
SLC39A4	-1.191430394	-0.287137969
SLC39A5	-1.935667214	0.067876344
SLC39A6	0.292745518	0.837908358
SLC39A7	0.652863219	0.91189049
SLC39A8	0.392667999	0.488991654
SLC39A9	1.786587152	0.888440296
SLC39A10	2.137730671	3.302815882
SLC39A11	-0.677426334	0.672274793
SLC39A12	0.230197781	0.681329647
SLC39A13	0.565057896	0.110277097
SLC39A14	0.357451862	0.854320828
TMEM163	1.522033957	2.199578134
TRPM2	-0.707754617	-0.30411859
