gene	n=1	n=2	n=3
ZIP1	0.152764182	1.294706482	0.538764784
ZIP2	ND	ND	ND
ZIP3	-1.211164443	-0.380912462	-0.740745497
ZIP4	-1.473427926	-2.196780469	-1.450741992
ZIP5	ND	ND	ND
ZIP6	0.757221136	1.101533198	0.47184653
ZIP7	0.79447522	1.265549428	1.200096742
ZIP8	0.845754791	1.109427299	0.858434205
ZIP9	0.541797771	1.544843805	0.712592561
ZIP10	2.25015839	2.578945033	2.565028973
ZIP11	-0.34657996	0.447649949	-0.108120897
ZIP12	ND	ND	ND
ZIP13	-0.715390464	0.094729138	0.050227229
ZIP14	-0.648411831	0.696418147	-0.010877706
