	n=1			n=2			n=3			n=4		
	before	after	delta	before	after	delta	before	after	delta	before	after	delta
NZ	75.323259	104.34605	29.022791	168.595199	205.392365	36.797166	116.422527	157.938367	41.51584	87.58165441	120.9367099	33.35505549
NZ	75.831031	152.513087	76.682056	110.723341	141.026202	30.302861	132.141192	195.802257	63.661065	53.62956178	76.70885834	23.07929656
NZ	85.559812	116.413261	30.853449	110.204276	127.02699	16.822714	150.917603	215.566557	64.648954	70.19703856	107.655203	37.45816444
NZ	94.089472	166.090305	72.000833	80.870042	105.287349	24.417307	88.523171	107.668111	19.14494	84.53880341	98.10087641	13.562073
NZ	94.759246	142.003769	47.244523	109.234435	145.351701	36.117266	165.120583	235.266912	70.146329	-	-	-
NZ	102.465145	158.416126	55.950981	-	-	-	180.796716	242.09066	61.293944	-	-	-
NZ	-	-	-	-	-	-	106.784266	155.325452	48.541186	-	-	-
LZ	73.961838	152.676858	78.71502	81.803928	151.258071	69.454143	117.675932	222.336687	104.660755	91.32528793	178.5646174	87.23932947
LZ	75.165965	148.239211	73.073246	88.322842	169.487278	81.164436	120.755926	198.66655	77.910624	48.21769849	124.2880334	76.07033491
LZ	90.6337	174.100954	83.467254	80.665733	153.570468	72.904735	132.915392	236.699543	103.784151	81.06777532	163.515922	82.44814668
LZ	96.365219	197.792209	101.42699	-	-	-	85.868521	145.105881	59.23736	81.94930816	158.8689153	76.91960714
LZ	100.540086	178.828541	78.288455	-	-	-	-	-	-	-	-	-
LZ	102.51623	168.964885	66.448655	-	-	-	-	-	-	-	-	-
LZ_TSA	94.191432	150.304097	56.112665	108.689696	110.525232	1.835536	74.90385	109.386653	34.482803	69.4979476	145.3840921	75.8861445
LZ_TSA	130.400432	180.968054	50.567622	71.765274	69.75152	-2.013754	80.635365	103.34477	22.709405	67.1697948	139.5524301	72.3826353
LZ_TSA	91.30767	147.945951	56.638281	-	-	-	-	-	-	59.66604706	79.35490303	19.68885597
LZ_TSA	-	-	-	-	-	-	-	-	-	47.75368106	104.4320428	56.67836174
LZ_TSA	-	-	-	-	-	-	-	-	-	93.52032831	182.2818131	88.76148479
