	n=1			n=2			n=3		
	before	after	delta	before	after	delta	before	after	delta
siCtrl	54.239428	149.529434	95.290006	54.082249	120.577651	66.495402	158.359762	237.735952	79.37619
siCtrl	56.74358	162.75619	106.012609	71.023608	144.188784	73.165176	122.842382	250.118802	127.27642
siCtrl	64.501636	191.643226	127.14159	57.994178	133.484552	75.490374	120.317804	219.817985	99.500182
siCtrl	78.499084	170.738551	92.239467	-	-	-	64.65741	126.677449	62.020039
siCtrl	87.357553	203.939914	116.582361	-	-	-	86.487963	150.325694	63.837731
siZIP10#1	18.153234	83.516602	65.363368	37.256182	40.370316	3.114134	38.80131	43.730071	4.92876
siZIP10#1	19.190452	68.403528	49.213076	48.70437	37.518583	-11.185787	29.249082	40.330929	11.081846
siZIP10#1	22.681544	75.190806	52.509262	28.236016	28.846632	0.610616	41.423241	44.107571	2.68433
siZIP10#1	62.890173	120.653178	57.763005	46.253639	51.026567	4.772928	38.080065	48.972774	10.892709
siZIP10#1	65.425187	106.336968	40.911781	40.784895	46.930632	6.145737	33.287032	48.660508	15.373477
siZIP10#1	-	-	-	42.060077	45.93541	3.875333	34.472864	50.658979	16.186115
siZIP10#1	-	-	-	33.181973	36.417735	3.235762	-	-	-
siZIP10#2	22.466406	58.668852	36.202446	47.117603	64.5912	17.473597	18.997361	25.349557	6.352196
siZIP10#2	25.536076	47.260292	21.724216	29.601499	31.729503	2.128004	21.838534	29.937559	8.099025
siZIP10#2	30.708672	78.86102	48.152348	39.010268	52.608649	13.598381	18.997361	25.349557	6.352196
siZIP10#2	35.867095	100.603755	64.73666	47.266757	53.909334	6.642577	26.619447	33.110777	6.49133
siZIP10#2	35.867095	100.603755	64.73666	44.229867	56.404262	12.174395	25.887639	31.332597	5.444959
siZIP10#2	-	-	-	-	-	-	17.125888	21.281493	4.155605
siZIP10#2	-	-	-	-	-	-	29.950395	33.689351	3.738956
siZIP10#2	-	-	-	-	-	-	21.07732	32.236817	11.159497
siZIP10#2							21.07732	32.236817	11.159497
