group	ND	HFD	HFD_ZN
male	2.2	5.133333333	0.686567164
male	2.486486486	5.115384615	1.773809524
male	0.659090909	7.843137255	2.269662921
male	1.176470588	5.034482759	2.904761905
male	0.0625	2.6125	2.102564103
male	0.076923077	2.494623656	1.06779661
male	0.081081081	2.4375	0.267605634
male	0.038834951	2.035294118	0.230769231
female	0.636363636	1.367346939	8.722222222
female	0.023809524	3.830769231	0.136752137
female	3.727272727	8.1796875	1.36036036
female	0.44047619	7.42384106	1.817204301
female	0.267605634	6.529411765	5.629032258
female	-	7.981308411	0.530120482
female	-	8.423913043	0.353982301
female	-	-	4.080357143
female	-	-	2.842105263
