Gene	t-stat	p-value
KAT2A	6.174237529	0.008002055
KAT2B	7.744784773	0.012774557
ELP3	12.46889256	0.000250833
CREBBP	6.553505433	0.014121073
EP300	9.864923279	0.009064941
KAT5	28.02990972	0.001032927
KAT6A	7.555022879	0.01535198
KAT6B	13.26817881	0.003315726
KAT7	135.9539589	3.26E-07
KAT8	4.441894644	0.041118223
TAF1	11.33157025	0.005524564
GTF3C4	32.93810234	5.05E-05
NCOA1	5.161943364	0.033968907
NCOA2	7.748474635	0.014196592
NCOA3	18.38665862	0.001162173
HAT1	5.321619614	0.031788293
NAA60	10.54850861	0.008809192
