Lysate				
		exp1	exp2	exp3
	dmso_dmso	1.214390688	1.085609146	1.123431673
	dmso_tpen_1h	0.664130019	0.41778604	0.62009072
	dmso_tpen_2h	0.208185538	0.13417567	0.184486471
	dmso_zn-saturated_tpen_2h	1.441034054	1.113215964	1.041378763
	mg132_chx_dmso	1.548388547	1.213876245	1.196795661
	mg132_chx_dmso_tpen_1h	0.801819993	0.553380508	0.810943793
	mg132_chx_dmso_tpen_2h	0.269361269	0.202377681	0.189677355
	mg132_chx_dmso_zn-saturated_tpen_2h	1.45676856	1.03224624	1.185354218
				
				
HAT assay				
		exp1	exp2	exp3
	–	0.16438364	0.166601938	0.207572152
	dmso_dmso	0.983800944	0.941024185	0.900544568
	dmso_tpen_1h	0.49618654	0.534471618	0.384616627
	dmso_tpen_2h	0.169948386	0.250384199	0.22292507
	dmso_zn-saturated_tpen_2h	0.988400103	1.017739357	0.870445741
	mg132_chx_dmso	1.040434893	0.920327352	0.9272255
	mg132_chx_dmso_tpen_1h	0.645371352	0.534729242	0.598809427
	mg132_chx_dmso_tpen_2h	0.161553835	0.127644982	0.18861679
	mg132_chx_dmso_zn-saturated_tpen_2h	1.083649767	1.010515666	1.026175855
