group	n=1	n=2	n=3
NT-	0.697957425	1.180946398	1.121096177
NT+	8.597145362	5.632087974	5.198662686
ZIP1	7.150131161	7.603424135	6.876989274
ZIP2	6.650800565	7.705299758	5.050026325
ZIP3	8.890412631	8.51914616	3.290427472
ZIP4	9.940263264	7.806334574	3.90074061
ZIP5	6.534556876	7.382932727	5.579797367
ZIP6	6.987486394	7.000701677	4.798213999
ZIP7	1.538093075	4.620252215	5.243847072
ZIP8	3.335296179	6.875601952	3.65435254
ZIP9	2.708648788	7.999510586	8.048471299
ZIP10	0.497116147	0.909462458	0.854391521
ZIP11	5.624469405	7.729882947	9.00644893
ZIP12	3.930262321	6.88250994	4.132276347
ZIP13	3.351396716	6.959097283	6.049536496
ZIP14	4.292481865	7.563198853	4.401979156
