gene	0day	5day	9day
slc39a10	1.107297689	1.627052242	1.518168788
slc39a10	0.795305828	1.451243174	1.50328445
slc39a10	1.008477782	1.104080274	1.152715131
slc39a10	1.088918701	1.147909812	0.852027431
slc39a14	0.646262843	1.605086823	1.360445767
slc39a14	0.891777906	2.630591398	1.415251929
slc39a14	1.06123882	0.937580582	0.896295252
slc39a14	1.40072043	1.116561143	0.965122065
slc30a1	1.035980635	1.021009131	0.933955717
slc30a1	1.140844247	1.528203817	1.170571301
slc30a1	0.719928574	0.72216124	1.000545338
slc30a1	1.103246543	0.691839424	1.054103087
